@relation spamClassification

@attribute stdDomains numeric
@attribute meanDomains numeric
@attribute stdCountries numeric
@attribute meanCountries numeric
@attribute encodersCount numeric
@attribute clicksCount numeric
@attribute isSpam {True,False}

@data
0.0,1.0,0.0,1.0,12,2,False
2.947,4.25,0.0,17.0,1,17,False
26.82,17.83,13.44,9.727,1,107,False
343.4,379.7,182.2,42.19,3,1139,True
0.0,2.0,0.0,1.0,5,3,True
159.3,69.17,114.1,30.37,1,1245,False
47.0,52.0,38.61,20.8,1,104,False
10.0,11.0,8.26,7.333,2,22,True
32.5,35.5,5.047,3.087,2,71,False
6.045e+03,3.732e+03,1.708e+03,242.4,3,18662,False
0.0,2.0,0.4714,1.333,7,4,False
46.0,106.0,33.28,13.25,3,212,False
483.2,364.0,223.3,50.21,1,1455,False
93.6,87.67,76.3,29.22,3,263,False
0.0,7.0,2.5,3.5,1,7,False
76.5,83.5,68.86,41.75,3,167,False
67.5,84.5,11.85,6.036,1,169,False
0.0,1.0,0.0,2.0,1,2,False
6.61,8.75,7.221,5.833,1,35,False
34.65,30.33,8.957,3.64,1,91,False
1.98e+03,421.5,1.923e+03,562.0,1,11803,False
159.6,55.0,310.7,149.3,15,1045,False
0.5,1.5,0.0,1.0,1,3,False
0.0,11.0,0.0,11.0,2,11,False
0.0,3.0,0.0,3.0,1,3,False
0.0,14.0,6.0,7.0,2,15,False
7.587,7.333,9.347,8.8,1,44,True
0.0,1.0,0.0,1.0,1,2,False
1.141e+04,2.832e+03,1.187e+04,2.231e+03,1,73753,False
4.4e+03,1.464e+03,2.108e+03,292.9,32,22496,False
0.5,1.5,0.5,1.5,1,3,False
0.0,2.0,0.0,2.0,1,2,False
11.88,13.5,21.95,18.0,1,54,True
94.71,78.67,36.88,23.6,1,236,False
73.54,69.67,124.7,46.44,2,634,False
0.0,3.0,0.5,1.5,1,3,False
852.0,392.3,579.7,154.0,37,4371,False
8.5,11.5,5.202,3.286,1,23,False
0.0,2.0,0.0,2.0,6,2,False
9.428,7.667,3.131,2.556,3,23,False
66.5,67.5,21.51,19.29,1,135,False
3.5,12.5,5.262,6.25,1,25,False
29.0,63.0,39.29,17.86,1,3340,False
72.77,48.75,37.6,12.19,3,390,False
25.47,25.25,17.88,8.417,6,101,False
0.0,18.0,0.0,18.0,2,18,False
5.5,6.5,4.028,4.333,2,13,False
1.048e+03,578.7,219.1,54.74,1,4051,False
0.0,34.0,0.0,34.0,1,34,True
7.488e+03,2.24e+03,6.891e+03,1.434e+03,1,35845,False
858.6,433.8,196.0,46.15,3,4338,False
4.743,7.0,5.249,4.667,1,28,False
0.0,1.0,0.0,1.0,1,2,False
5.109e+03,2.296e+03,2.261e+03,430.5,1,13778,False
10.5,11.5,6.248,4.6,2,23,False
4.0,5.0,4.0,5.0,3,10,True
0.0,2.0,0.0,2.0,1,2,False
0.0,20.0,7.0,10.0,2,20,True
0.0,8.0,3.0,4.0,2,8,False
1.433e+03,525.4,383.0,88.94,1,8945,False
1.664e+03,682.8,477.8,66.79,2,6145,False
0.0,9.0,3.5,4.5,2,9,False
0.0,19.0,7.542,6.333,2,19,False
0.0,45.0,16.5,22.5,1,45,False
25.93,23.14,59.36,32.4,1,181,True
2.944,7.0,3.832,5.25,13,21,False
32.0,37.0,16.27,12.33,2,74,False
7.0,16.0,2.749,2.667,1,32,True
2.278,3.25,4.5,6.5,1,13,False
3.532,5.167,11.81,10.33,1,31,False
0.0,11.0,4.5,5.5,2,11,False
3.3,5.333,3.3,5.333,11,16,False
4.0,5.0,0.866,2.5,13,10,True
0.0,2.0,0.0,2.0,1,2,False
13.0,76.0,40.09,25.33,1,152,False
104.2,47.86,88.3,33.5,3,335,False
0.0,2.0,0.0,2.0,1,2,False
123.3,107.8,138.8,53.88,19,431,False
8.958,7.5,14.0,15.0,1,30,False
57.0,59.0,34.34,23.6,1,118,False
4.497,7.667,4.061,3.286,1,23,False
0.0,7.0,2.5,3.5,12,7,False
4.497,4.667,0.0,14.0,1,14,True
0.0,2.0,0.0,2.0,1,2,False
0.0,3.0,0.0,3.0,1,3,False
0.0,3.0,0.0,3.0,8,3,False
276.5,287.5,135.4,41.07,12,575,False
0.0,29.0,10.14,9.667,1,29,False
20.98,28.33,13.03,7.083,1,87,False
615.1,491.3,163.6,28.9,8,1474,False
789.7,336.4,101.1,60.37,3,6055,False
1.141e+03,706.2,391.4,313.9,1,2825,False
1.0,3.0,1.414,2.0,6,6,False
1.15e+03,147.8,857.8,170.2,1,11398,False
19.29,19.33,18.76,11.6,1,58,False
7.0,8.0,5.437,5.333,1,16,False
8.5,10.5,7.789,7.0,1,21,False
3.5,5.5,2.4,2.2,1,11,False
388.1,165.1,167.3,52.84,1,1321,False
121.9,72.38,28.38,11.58,2,579,False
7.0,8.0,4.637,4.0,2,16,False
3.0,8.0,0.6556,1.455,1,52,False
4.026e+03,1.099e+03,2.365e+03,747.4,3,18686,False
135.5,139.5,88.03,55.8,1,279,False
0.0,1.0,0.0,2.0,1,2,False
27.5,31.5,8.038,7.875,1,63,False
538.3,490.0,92.3,51.58,1,1960,False
4.0,5.0,3.0,5.0,1,10,False
27.0,39.0,29.2,15.6,2,78,False
174.8,93.75,110.0,31.25,2,750,False
0.0,16.0,6.128,5.333,2,16,False
8.5,42.5,6.035,4.048,1,85,False
1.633,3.0,2.5,4.5,2,9,False
0.0,2.0,0.0,1.0,3,2,False
1.0,3.0,1.414,2.0,3,6,False
209.8,114.6,29.59,15.08,1,573,False
295.1,117.3,168.3,96.0,1,1056,False
492.5,1.612e+03,150.8,75.0,1,3264,False
4.0,6.0,3.559,4.0,1,12,False
0.5,2.5,1.5,2.5,2,5,False
0.0,15.0,6.5,7.5,2,15,False
1.7,3.667,2.046,2.75,5,11,True
2.915,3.0,4.0,6.0,1,12,True
10.16,9.5,10.29,7.6,2,38,False
1.798e+03,1.12e+03,219.8,91.47,1,4485,False
133.7,120.7,16.42,6.136,1,362,False
1.5,2.5,1.5,2.5,1,5,False
5.191e+03,1.676e+03,7.568e+03,1.248e+03,2,58666,False
2.5,3.5,0.3727,1.167,2,7,False
135.0,191.7,105.6,26.14,1,575,False
109.2,80.25,49.0,13.96,1,366,False
0.0,1.0,0.0,1.0,1,2,False
5.793,8.667,5.873,3.714,1,26,False
28.5,80.5,71.67,53.67,3,161,False
0.0,2.0,0.0,1.0,14,2,False
0.5,4.5,1.414,3.0,1,9,False
5.497e+04,1.313e+04,2.243e+04,3.415e+03,1,342019,False
10.5,26.5,19.2,10.6,1,53,False
8.0,11.0,8.957,7.333,4,22,False
3.5,6.5,4.243,4.0,3,12,False
716.6,320.6,843.7,220.4,1,3888,False
115.3,129.0,163.0,96.75,16,387,False
42.65,21.86,61.64,38.25,1,153,False
51.42,58.0,57.12,15.82,4,1466,False
233.5,279.5,109.7,29.42,1,559,False
1.0,3.0,1.0,3.0,1,6,False
0.0,14.0,0.0,14.0,1,14,False
0.0,4.0,0.0,1.0,1,4,False
1.0,3.0,0.5,1.5,2,10,False
207.0,97.0,63.3,23.71,3,1067,False
2.0,6.0,2.915,3.0,4,12,False
1.5,2.5,1.5,2.5,1,5,False
90.14,78.75,27.04,8.289,25,315,False
17.19,14.2,13.23,7.889,2,71,False
926.2,190.2,637.8,262.7,4,5517,False
0.0,2.0,0.0,2.0,6,2,True
400.4,225.3,304.4,193.1,1,1352,False
1.247,4.667,1.299,1.75,1,14,False
4.0,5.0,1.658,2.5,1,10,False
371.5,389.5,172.1,59.92,1,780,False
0.0,6.0,0.0,6.0,1,6,True
53.25,32.4,101.6,46.29,7,324,True
5.0,6.0,3.0,6.0,1,12,False
19.5,39.5,11.23,6.583,1,79,False
836.2,181.6,871.9,353.2,18,6357,False
1.389e+03,1.416e+03,201.3,98.77,2,4247,False
0.5,1.5,0.0,1.0,2,3,False
15.32,14.75,23.24,14.75,1,126,False
101.5,150.5,48.98,15.84,2,301,False
324.2,211.4,387.9,116.2,1,2325,False
2.939e+03,1.564e+03,1.891e+03,243.8,3,18769,False
1.597e+03,550.7,587.0,137.7,7,10026,False
67.16,48.25,18.37,8.773,1,193,True
52.57,50.33,42.67,15.1,1,302,False
7.0,10.0,2.867,6.667,4,21,False
1.5,2.5,0.0,1.0,6,5,False
383.7,170.3,159.9,33.11,1,1192,False
832.2,213.3,542.1,186.7,2,4480,True
207.1,171.6,185.8,35.32,1,1201,False
0.0,3.0,0.0,3.0,9,3,False
1.0,2.0,1.0,2.0,1,4,False
0.0,11.0,0.0,11.0,4,11,False
2.0,3.0,0.5,1.5,2,6,False
59.5,122.5,109.9,81.67,1,245,False
420.8,592.7,302.2,77.3,25,1802,False
0.0,2.0,0.0,2.0,10,2,False
0.0,8.0,2.357,2.667,2,8,False
0.5,41.5,20.89,27.67,1,83,False
0.0,3.0,0.5,1.5,6,4,True
141.7,65.38,46.26,21.79,7,523,False
1.0,8.0,1.0,8.0,12,16,False
0.0,31.0,22.3,12.4,1,71,False
158.6,117.7,47.1,25.21,1,353,False
0.0,37.0,16.5,18.5,3,37,False
621.0,688.0,230.3,50.96,1,2407,False
0.0,26.0,10.84,8.667,2,26,True
6.0,8.0,5.196,4.0,4,16,False
6.5,8.5,4.317,3.4,2,17,False
12.39,15.67,10.89,5.222,33,47,False
44.0,59.0,20.52,7.867,5,118,False
17.52,24.5,28.89,9.188,3,147,False
306.3,184.0,197.4,70.1,1,1472,False
5.099,7.0,5.913,4.2,1,21,False
182.4,213.3,71.22,25.6,1,640,False
0.0,17.0,0.0,17.0,2,17,True
0.0,1.0,0.0,2.0,1,2,False
0.5,3.5,0.5,3.5,1,7,True
11.21,14.2,13.77,7.1,1,71,False
503.8,437.0,381.0,131.1,4,1311,False
3.0,14.0,8.246,7.0,1,28,False
5.437,7.667,5.5,11.5,3,23,False
2.0,4.0,2.0,4.0,7,8,False
0.0,36.0,17.0,18.0,1,36,False
956.2,291.3,353.4,48.01,346,12057,False
0.0,1.0,0.0,1.0,2,2,False
17.79,13.83,27.36,13.83,1,83,True
4.0,10.0,8.0,10.0,1,20,False
11.5,20.5,14.89,10.25,1,41,True
113.7,88.33,45.81,37.86,1,265,False
2.0,3.0,0.0,6.0,2,6,False
0.0,2.0,0.0,2.0,1,2,False
27.43,18.0,16.97,10.8,1,108,False
3.0,8.0,0.0,16.0,1,16,False
118.8,115.8,90.93,57.88,1,463,False
2.821e+03,1.661e+03,454.6,195.4,1,9987,False
0.0,2.0,0.0,2.0,4,2,False
6.5,8.5,5.629,4.25,1,17,False
979.1,341.2,278.4,87.49,22,3412,False
49.85,50.0,32.97,12.5,2,263,False
172.7,160.0,28.75,9.796,1,480,False
107.6,69.0,160.1,82.8,4,414,False
0.0,2.0,0.0,1.0,1,2,True
1.5,6.5,1.0,6.0,13,14,False
0.0,63.0,21.5,31.5,1,63,True
0.5,1.5,0.5,1.5,4,3,False
862.0,312.8,239.9,81.61,1,3754,False
129.5,138.5,61.11,18.47,3,277,False
16.0,20.0,15.02,10.0,1,39,False
2.809,6.333,5.5,3.455,1,38,False
4.0,12.0,4.967,8.0,1,25,False
5.437,6.667,2.485,2.222,1,62,False
1.548e+03,539.0,414.2,86.15,52,8624,False
498.0,521.0,168.1,35.9,4,3767,False
1.411e+03,266.1,1.204e+03,451.1,4,10376,False
0.0,2.0,0.0,2.0,1,2,False
4.0,10.0,4.0,10.0,24,20,False
0.0,3.0,0.0,3.0,61,3,False
2.533e+03,1.34e+03,1.051e+03,297.7,1,8037,True
34.0,79.0,18.28,7.524,88,238,False
0.0,12.0,3.559,4.0,2,12,False
0.5,1.5,0.0,3.0,2,3,False
74.5,83.5,59.56,27.83,1,167,False
2.997e+03,1.689e+03,527.0,246.3,1,11824,False
1.0,4.0,1.0,4.0,26,8,False
0.0,2.0,0.0,2.0,3,2,False
3.279,4.5,7.071,6.0,3,19,False
0.0,11.0,3.091,3.667,2,11,False
6.5,9.5,6.848,6.333,2,19,False
0.0,3.0,0.0,1.0,9,3,False
23.5,36.5,24.71,14.6,1,73,False
8.5,53.5,16.37,10.7,1,107,False
0.0,5.0,0.0,5.0,5,7,False
77.0,79.0,33.6,26.33,1,158,False
0.5,1.5,0.5,1.5,3,3,True
0.0,582.0,68.63,38.8,1,1164,False
64.5,95.5,30.84,10.61,7,483,False
25.96,12.43,11.31,8.7,2,87,False
156.4,141.1,195.3,44.91,4,988,False
1.5,2.5,1.5,2.5,4,5,False
111.0,113.0,47.81,28.25,1,226,False
0.0,2.0,0.0,1.0,3,2,False
0.0,1.0,0.0,1.0,1,2,False
0.0,3.0,1.0,3.0,1,7,False
7.0,10.0,2.345,5.0,1,21,False
0.0,4.0,0.0,4.0,52,4,False
4.567e+03,2.357e+03,1.255e+03,268.5,1,21215,False
7.649,10.0,13.51,8.0,1,40,True
0.0,12.0,0.0,12.0,2,12,False
1.5,4.5,0.8292,2.25,2,10,False
19.5,21.5,14.82,14.33,1,43,True
512.2,332.9,760.4,291.2,1,2330,False
4.5,16.5,3.562,8.25,1,33,False
470.7,272.2,226.8,64.81,1,1361,False
0.0,2.0,0.0,2.0,2,2,False
1.082e+03,244.4,474.5,107.5,10,10756,False
0.5,5.5,0.696,1.375,1,11,False
7.0,8.0,5.196,4.0,1,16,False
1.5,9.5,5.932,4.75,1,49,False
23.5,41.5,22.7,13.83,1,83,False
1.094e+03,604.4,113.9,30.19,1,3022,False
25.0,23.67,14.72,11.83,1,72,False
12.05,15.5,11.03,7.75,2,62,False
1.5,3.5,1.886,2.333,1,7,False
302.8,284.0,207.8,56.8,2,1136,False
0.0,1.0,0.0,1.0,1,2,False
0.0,2.0,0.0,1.0,1,2,False
0.0,1.0,0.0,2.0,1,2,False
188.0,201.2,132.2,28.07,12,1207,False
0.0,1.0,0.0,1.0,2,2,False
1.358e+04,3.972e+03,6.02e+03,2.582e+03,1,51632,False
8.0,9.0,8.0,9.0,1,18,False
3.5,10.5,7.789,7.0,1,26,False
0.5,24.5,9.856,8.167,3,49,False
0.0,2.0,0.0,1.0,4,2,True
0.0,2.0,0.0,2.0,1,2,False
0.5,18.5,8.842,9.25,1,37,True
41.71,26.89,53.7,22.0,6,345,False
1.525e+04,4.622e+03,6.427e+03,785.6,3,78569,False
541.7,316.2,376.8,90.33,1,1897,False
0.0,2.0,0.0,2.0,1,2,False
0.0,4.0,0.0,4.0,1,4,False
295.8,212.7,146.7,91.14,36,657,False
90.85,66.6,46.04,13.88,125,333,False
1.182e+03,467.1,251.3,69.92,1,7007,False
4.5,8.5,1.691,2.125,1,17,False
790.3,566.3,247.5,99.94,28,1699,False
19.12,16.25,42.23,18.57,3,130,True
0.5,1.5,0.0,1.0,5,3,True
518.5,678.5,224.7,79.82,3,1357,False
0.0,1.0,0.0,2.0,1,2,True
0.5,1.5,0.0,1.0,6,3,False
13.57,16.33,13.57,16.33,25,49,False
199.0,230.0,106.2,30.67,3,483,False
10.0,13.0,7.04,8.667,3,26,False
4.22e+03,1.571e+03,906.9,279.7,1,20424,False
1.0,5.0,2.625,3.333,1,10,False
0.0,3.0,0.0,3.0,1,3,False
4.0,9.0,5.5,4.5,2,18,False
1.154e+04,3.119e+03,1.266e+04,1.559e+03,22,155953,False
1.5,5.5,0.4714,3.667,6,11,False
1.037e+03,993.7,112.0,29.69,1,2981,False
0.0,26.0,8.958,6.5,2,26,False
142.8,90.86,54.99,15.51,81,636,False
1.0,2.0,1.0,2.0,1,4,False
